"num.claims" "av.claimsize"
"3028" 1 0.9129
"3032" 5 2.724616
"3033" 1 5.24071
"3035" 1 3.77469
"3038" 1 0.4976
"3042" 4 1.2919775
"3048" 1 0.1508
"3055" 1 0.59051
"3056" 2 2.614915
"3061" 1 0.19191
"3067" 2 0.66725
"3074" 1 0.88789
"3082" 1 1.70725
"3083" 1 1.84894
"3092" 1 2.23634
"3097" 1 0.15
"3114" 5 3.56745
"3115" 3 5.15633
"3116" 1 0.04569
"3119" 3 0.478273333333333
"3120" 3 3.32764
"3122" 1 6.23172
"3123" 1 1.11624
"3124" 2 5.50858
"3129" 1 7.81555
"3131" 1 0.03235
"3132" 2 1.889865
"3135" 1 0.43554
"3137" 2 6.68977
"3141" 2 1.58724
"3144" 1 1.39114
"3147" 2 2.268
"3150" 3 1.63243333333333
"3151" 1 5.80096
"3156" 1 1.63114
"3157" 1 2.52058
"3160" 1 0.50976
"3161" 2 2.98463
"3169" 4 2.692145
"3182" 1 4.70826
"3183" 1 3.63312
"3186" 1 0.23276
"3191" 1 3.10941
"3195" 1 0.36161
"3199" 1 2.01681
"3215" 4 0.57484
"3221" 2 0.45509
"3222" 1 0.64317
"3229" 1 1.95019
"3230" 2 1.139625
"3238" 1 0.03566
"3239" 1 0.0283
"3240" 1 0.61146
"3241" 1 3.15819
"3247" 2 2.58511
"3249" 1 2.26861
"3250" 1 8.05688
"3251" 1 2.613
"3253" 1 0.86939
"3254" 1 0.47322
"3266" 1 1.84933
"3274" 1 1.16332
"3277" 1 0.14391
"3278" 1 3.11541
"3282" 1 3.48592
"3285" 1 0.15
"3291" 1 0.41313
"3296" 1 0.1345
"3298" 1 0.11775
"3309" 1 3.86513
"3318" 1 0.81093
"3321" 1 5.63968
"3324" 2 1.98154
"3326" 1 1.9535
"3328" 1 4.8485
"3329" 1 0.3807
"3338" 1 7.99416
"3344" 2 0.64605
"3345" 1 0.81896
"3346" 1 0.66862
"3347" 1 0.15
"3350" 1 0.4647
"3351" 1 4.57017
"3352" 5 2.9688
"3356" 1 0.83369
"3358" 2 2.76772
"3359" 1 6.3
"3360" 1 4.73533
"3362" 1 0.31223
"3363" 1 0.02
"3364" 2 3.586275
"3367" 2 0.118075
"3369" 1 0.4988
"3370" 1 3.78965
"3373" 2 2.400545
"3374" 2 1.34468
"3375" 1 0.07259
"3377" 1 1.68304
"3379" 1 7.537
"3383" 1 1.2
"3384" 2 3.38737
"3385" 3 4.26784333333333
"3386" 1 1.06219
"3388" 3 0.112303333333333
"3390" 1 5.41
"3391" 1 2.06405
"3392" 1 0.15
"3393" 1 5.78323
"3397" 1 0.84757
"3400" 3 4.27925333333333
"3403" 4 0.849245
"3404" 3 4.91131333333333
"3405" 1 0.15875
"3411" 1 10.5762
"3413" 5 1.577718
"3419" 1 2.00033
"3420" 1 2.53306
"3421" 1 0.80729
"3422" 1 2.71395
"3426" 1 7.1505
"3428" 1 4.83
"3431" 2 2.78523
"3433" 2 0.446135
"3434" 2 2.929725
"3436" 1 1.5
"3437" 3 2.94128333333333
"3439" 3 1.47513
"3440" 4 0.9894175
"3442" 1 0.21773
"3443" 1 3.34937
"3444" 3 0.522326666666667
"3445" 2 2.482235
"3448" 1 3.65396
"3452" 2 0.18523
"3455" 2 0.822955
"3456" 4 2.28251
"3457" 3 0.982803333333333
"3462" 1 2.21064
"3463" 2 3.975325
"3464" 5 2.961514
"3465" 1 0.50241
"3470" 3 3.20904
"3471" 4 1.6426225
"3472" 2 4.644035
"3475" 2 0.710785
"3476" 2 2.73883
"3477" 4 3.1998675
"3478" 1 2.70814
"3479" 1 0.25845
"3481" 2 1.65499
"3483" 2 2.46288
"3484" 1 0.15239
"3488" 1 8.52695
"3489" 2 3.57777
"3492" 2 1.576385
"3494" 3 3.89193666666667
"3495" 2 0.260955
"3496" 5 1.160788
"3497" 2 3.10496
"3501" 1 8.3652
"3503" 1 0.61582
"3504" 3 4.60483
"3511" 4 2.6871325
"3516" 1 8.85821
"3517" 4 0.833205
"3518" 2 4.24645
"3520" 1 11.76735
"3521" 1 3.96996
"3522" 3 5.84431666666667
"3523" 3 2.92172333333333
"3524" 5 2.036076
"3529" 3 2.50275
"3530" 1 1.826
"3531" 3 0.64291
"3532" 1 0.63696
"3535" 2 0.30224
"3536" 1 6.23823
